,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater1 2,Rater1 3,Rater1 4,Rater1 5,Rater1 6,Rater2 1,Rater2 2,Rater2 3,Rater2 4,Rater2 5,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
Rater1 Comp,,"P: 0.595, S: 0.595","P: 0.873, S: 0.863","P: 0.471, S: 0.448","P: 0.859, S: 0.848","P: 0.879, S: 0.851","P: 0.764, S: 0.720","P: 0.804, S: 0.762","P: 0.898, S: 0.864","P: 0.922, S: 0.907","P: 0.544, S: 0.532","P: 0.529, S: 0.514","P: 0.504, S: 0.495","P: 0.532, S: 0.532","P: 0.525, S: 0.513","P: 0.528, S: 0.521","P: 0.482, S: 0.469","P: 0.383, S: 0.388","P: 0.366, S: 0.329","P: 0.401, S: 0.368","P: 0.353, S: 0.323","P: 0.297, S: 0.272"
Rater2 Comp,"P: 0.595, S: 0.595",,"P: 0.876, S: 0.876","P: 0.439, S: 0.413","P: 0.517, S: 0.510","P: 0.525, S: 0.515","P: 0.461, S: 0.446","P: 0.499, S: 0.506","P: 0.534, S: 0.536","P: 0.545, S: 0.534","P: 0.865, S: 0.844","P: 0.877, S: 0.852","P: 0.766, S: 0.737","P: 0.785, S: 0.743","P: 0.882, S: 0.849","P: 0.919, S: 0.903","P: 0.447, S: 0.427","P: 0.374, S: 0.376","P: 0.289, S: 0.256","P: 0.392, S: 0.365","P: 0.288, S: 0.260","P: 0.293, S: 0.282"
Resolved Score,"P: 0.873, S: 0.863","P: 0.876, S: 0.876",,"P: 0.495, S: 0.466","P: 0.761, S: 0.740","P: 0.770, S: 0.745","P: 0.674, S: 0.639","P: 0.721, S: 0.698","P: 0.780, S: 0.763","P: 0.800, S: 0.784","P: 0.769, S: 0.754","P: 0.769, S: 0.746","P: 0.695, S: 0.680","P: 0.722, S: 0.693","P: 0.763, S: 0.739","P: 0.802, S: 0.791","P: 0.517, S: 0.498","P: 0.413, S: 0.416","P: 0.366, S: 0.325","P: 0.434, S: 0.396","P: 0.342, S: 0.313","P: 0.306, S: 0.289"
System Overall,"P: 0.471, S: 0.448","P: 0.439, S: 0.413","P: 0.495, S: 0.466",,"P: 0.378, S: 0.346","P: 0.383, S: 0.351","P: 0.386, S: 0.348","P: 0.394, S: 0.350","P: 0.441, S: 0.405","P: 0.454, S: 0.437","P: 0.395, S: 0.366","P: 0.388, S: 0.338","P: 0.387, S: 0.365","P: 0.400, S: 0.366","P: 0.397, S: 0.355","P: 0.390, S: 0.360","P: 0.853, S: 0.837","P: 0.854, S: 0.831","P: 0.775, S: 0.755","P: 0.812, S: 0.794","P: 0.738, S: 0.724","P: 0.763, S: 0.709"
Rater1 1,"P: 0.859, S: 0.848","P: 0.517, S: 0.510","P: 0.761, S: 0.740","P: 0.378, S: 0.346",,"P: 0.804, S: 0.785","P: 0.761, S: 0.732","P: 0.743, S: 0.724","P: 0.707, S: 0.685","P: 0.667, S: 0.643","P: 0.502, S: 0.486","P: 0.474, S: 0.468","P: 0.461, S: 0.442","P: 0.501, S: 0.498","P: 0.470, S: 0.456","P: 0.430, S: 0.419","P: 0.417, S: 0.395","P: 0.302, S: 0.291","P: 0.297, S: 0.258","P: 0.343, S: 0.312","P: 0.274, S: 0.242","P: 0.209, S: 0.197"
Rater1 2,"P: 0.879, S: 0.851","P: 0.525, S: 0.515","P: 0.770, S: 0.745","P: 0.383, S: 0.351","P: 0.804, S: 0.785",,"P: 0.732, S: 0.698","P: 0.735, S: 0.707","P: 0.754, S: 0.725","P: 0.689, S: 0.660","P: 0.492, S: 0.475","P: 0.493, S: 0.478","P: 0.462, S: 0.446","P: 0.490, S: 0.489","P: 0.465, S: 0.449","P: 0.444, S: 0.423","P: 0.409, S: 0.388","P: 0.300, S: 0.290","P: 0.305, S: 0.260","P: 0.324, S: 0.299","P: 0.294, S: 0.266","P: 0.231, S: 0.221"
Rater1 3,"P: 0.764, S: 0.720","P: 0.461, S: 0.446","P: 0.674, S: 0.639","P: 0.386, S: 0.348","P: 0.761, S: 0.732","P: 0.732, S: 0.698",,"P: 0.761, S: 0.743","P: 0.686, S: 0.653","P: 0.621, S: 0.575","P: 0.445, S: 0.419","P: 0.425, S: 0.402","P: 0.407, S: 0.389","P: 0.444, S: 0.429","P: 0.411, S: 0.383","P: 0.387, S: 0.363","P: 0.424, S: 0.395","P: 0.334, S: 0.325","P: 0.342, S: 0.304","P: 0.350, S: 0.316","P: 0.292, S: 0.271","P: 0.175, S: 0.162"
Rater1 4,"P: 0.804, S: 0.762","P: 0.499, S: 0.506","P: 0.721, S: 0.698","P: 0.394, S: 0.350","P: 0.743, S: 0.724","P: 0.735, S: 0.707","P: 0.761, S: 0.743",,"P: 0.785, S: 0.752","P: 0.667, S: 0.632","P: 0.454, S: 0.438","P: 0.445, S: 0.432","P: 0.438, S: 0.411","P: 0.467, S: 0.469","P: 0.457, S: 0.450","P: 0.434, S: 0.431","P: 0.403, S: 0.377","P: 0.324, S: 0.299","P: 0.313, S: 0.264","P: 0.370, S: 0.322","P: 0.320, S: 0.289","P: 0.221, S: 0.205"
Rater1 5,"P: 0.898, S: 0.864","P: 0.534, S: 0.536","P: 0.780, S: 0.763","P: 0.441, S: 0.405","P: 0.707, S: 0.685","P: 0.754, S: 0.725","P: 0.686, S: 0.653","P: 0.785, S: 0.752",,"P: 0.778, S: 0.741","P: 0.474, S: 0.461","P: 0.468, S: 0.452","P: 0.438, S: 0.421","P: 0.466, S: 0.463","P: 0.483, S: 0.477","P: 0.478, S: 0.475","P: 0.424, S: 0.394","P: 0.371, S: 0.360","P: 0.345, S: 0.306","P: 0.369, S: 0.326","P: 0.341, S: 0.306","P: 0.288, S: 0.263"
Rater1 6,"P: 0.922, S: 0.907","P: 0.545, S: 0.534","P: 0.800, S: 0.784","P: 0.454, S: 0.437","P: 0.667, S: 0.643","P: 0.689, S: 0.660","P: 0.621, S: 0.575","P: 0.667, S: 0.632","P: 0.778, S: 0.741",,"P: 0.485, S: 0.471","P: 0.466, S: 0.444","P: 0.449, S: 0.440","P: 0.463, S: 0.448","P: 0.466, S: 0.444","P: 0.508, S: 0.492","P: 0.453, S: 0.446","P: 0.372, S: 0.382","P: 0.346, S: 0.322","P: 0.379, S: 0.351","P: 0.337, S: 0.321","P: 0.301, S: 0.273"
