Submission ID,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater2 1,Rater1 2,Rater2 2,Rater1 3,Rater2 3,Rater1 4,Rater2 4,Rater1 5,Rater2 5,Rater1 6,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
1322,16.0,15.0,31.0,34.99999999999999,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4,4,4,3,3,3
1323,23.0,16.0,44.0,24.999999999999996,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4,3,3,3,2,1
1324,15.0,16.0,31.0,32.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4,3,5,4,3,2
1325,18.0,18.0,36.0,37.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5,4,5,4,4,2
1326,23.0,20.0,43.0,43.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5,5,5,5,4,3
1327,10.0,10.0,20.0,24.999999999999996,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4,2,3,2,2,2
1328,20.0,25.0,45.0,39.99999999999999,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5,4,5,4,4,3
1329,20.0,20.0,40.0,42.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,5,4,3,4
1330,15.0,15.0,30.0,39.99999999999999,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5,4,5,4,4,3
1331,15.0,20.0,35.0,34.99999999999999,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4,4,4,3,3,3
1332,20.0,20.0,40.0,39.99999999999999,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,5,4,4,3
1333,22.0,20.0,42.0,34.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,4,4,3,3
1334,16.0,18.0,34.0,27.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3,3,3,3,3,2
1335,17.0,16.0,33.0,36.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4,4,4,4,3,3
1336,18.0,20.0,38.0,46.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,5,5,5,4,4
