Submission ID,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater2 1,Rater1 2,Rater2 2,Rater1 3,Rater2 3,Rater1 4,Rater2 4,Rater1 5,Rater2 5,Rater1 6,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
1349,18.0,16.0,34.0,37.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5,4,4,3,3,3
1350,21.0,26.0,46.0,39.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,5,4,5,4,3,3
1351,15.0,20.0,40.0,38.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,5,4,5,3,3,3
1352,12.0,20.0,30.0,32.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4,3,3,3,3,3
1353,11.0,15.0,26.0,27.999999999999996,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4,3,3,3,2,2
1354,20.0,18.0,40.0,30.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4,3,4,3,3,2
1355,20.0,20.0,40.0,38.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,5,4,4,3
1356,15.0,19.0,34.0,32.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4,3,4,3,2,3
1357,21.0,20.0,41.0,39.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5,4,5,4,3,3
1358,20.0,20.0,40.0,36.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,3,3
1359,16.0,15.0,31.0,36.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4,4,4,4,3,3
1360,23.0,16.0,44.0,38.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4,4,5,4,4,3
1361,15.0,16.0,31.0,30.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4,3,4,3,3,2
1362,18.0,18.0,36.0,32.99999999999999,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4,4,4,3,4,2
1363,23.0,20.0,43.0,43.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5,5,5,5,4,3
1364,10.0,10.0,20.0,34.99999999999999,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4,4,3,3,4,3
1365,20.0,25.0,45.0,38.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5,4,4,4,3,3
1366,20.0,20.0,40.0,42.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,5,5,4,4,3
1367,15.0,15.0,30.0,38.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5,4,4,4,3,3
1368,15.0,20.0,35.0,44.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5,5,5,4,3,4
1369,20.0,20.0,40.0,39.99999999999999,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6,5,4,4,4,2
1370,22.0,20.0,42.0,33.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,4,3,3,3
1371,16.0,18.0,34.0,27.999999999999996,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3,3,4,3,3,2
1372,17.0,16.0,33.0,33.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5,4,5,3,4,1
1373,18.0,20.0,38.0,45.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,5,5,4,4,4
1374,19.0,17.0,36.0,36.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5,4,5,4,3,2
1375,20.0,25.0,45.0,50.00000000000001,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6,6,5,4,5,4
1376,16.0,15.0,31.0,39.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5,4,5,4,3,3
1377,15.0,15.0,30.0,39.99999999999999,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5,4,5,4,4,3
1378,18.0,16.0,34.0,30.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3,3,3,3,3,3
1379,15.0,18.0,33.0,32.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4,4,4,3,3,2
1380,23.0,18.0,40.0,34.99999999999999,5.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4,4,4,3,3,3
1381,23.0,24.0,47.0,39.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,4,4,4,4,3
1382,15.0,15.0,30.0,33.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4,3,4,3,3,3
1383,20.0,20.0,40.0,39.99999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,5,4,4,3
1384,15.0,17.0,32.0,39.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5,4,4,4,4,3
1385,19.0,20.0,40.0,34.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4,3,4,4,3,3
1386,15.0,15.0,30.0,19.999999999999996,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3,2,3,2,2,1
1387,20.0,20.0,40.0,38.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,4,4,3,3
1388,25.0,20.0,45.0,36.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5,4,5,4,3,2
1389,20.0,25.0,45.0,27.999999999999996,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3,3,4,3,3,2
1390,20.0,25.0,45.0,44.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,6,5,5,4,4,3
1391,20.0,26.0,50.0,37.0,4.0,5.0,4.0,6.0,3.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,5,4,4,3,3,3
1392,21.0,18.0,39.0,39.99999999999999,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5,4,5,4,4,3
1393,15.0,18.0,33.0,36.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4,4,4,4,3,3
1394,15.0,18.0,33.0,34.99999999999999,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4,4,4,3,3,3
1395,17.0,17.0,34.0,38.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5,4,4,4,3,3
1396,20.0,20.0,40.0,34.99999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,4,3,4,2
1397,15.0,18.0,33.0,36.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5,4,4,4,4,2
1398,18.0,15.0,33.0,39.99999999999999,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5,4,5,4,4,3
1399,20.0,20.0,40.0,38.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,4,4,3,3
1400,20.0,18.0,36.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4,4,4,3,3,2
1401,20.0,17.0,37.0,45.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6,5,5,5,4,3
