Submission ID,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater2 1,Rater1 2,Rater2 2,Rater1 3,Rater2 3,Rater1 4,Rater2 4,Rater1 5,Rater2 5,Rater1 6,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
1849,18.0,16.0,34.0,27.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3,3,4.0,3,2.0,2.0
1850,21.0,26.0,46.0,32.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,4,4,4.0,3,3.0,2.0
1851,15.0,20.0,40.0,36.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4,3,4.0,3,3.0,4.0
1852,12.0,20.0,30.0,24.999999999999993,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3,2,4.0,3,2.0,2.0
1853,11.0,15.0,26.0,18.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2,2,3.0,2,2.0,1.0
1854,20.0,18.0,40.0,23.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3,3,4.0,2,2.0,1.0
1855,20.0,20.0,40.0,27.999999999999996,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,3.0,2,3.0,2.0
1856,15.0,19.0,34.0,24.999999999999993,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3,2,4.0,3,2.0,2.0
1857,21.0,20.0,41.0,34.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4,4,5.0,4,3.0,2.0
1858,20.0,20.0,40.0,30.999999999999996,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,4.0,3,4.0,2.0
1859,16.0,15.0,31.0,27.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3.0,3,3.0,2.0
1860,23.0,16.0,44.0,30.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4,3,4.0,3,3.0,2.0
1861,15.0,16.0,31.0,21.999999999999996,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,4.0,3,2.0,1.0
1862,18.0,18.0,36.0,27.999999999999996,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3,3,4.0,3,3.0,2.0
1863,23.0,20.0,43.0,34.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4,4,5.0,4,3.0,2.0
1864,10.0,10.0,20.0,19.999999999999996,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3,2,2.0,3,2.0,1.0
