,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater1 2,Rater1 3,Rater1 4,Rater1 5,Rater1 6,Rater2 1,Rater2 2,Rater2 3,Rater2 4,Rater2 5,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
Rater1 Comp,,2.032,18.636,11.015714285714287,14.572,14.608,14.378,14.47,14.6,14.742,14.5,14.558,14.296,14.412,14.534,14.72,14.736,15.22,14.567134268537075,15.332,15.609218436873748,16.143145161290324
Rater2 Comp,2.032,,18.404,10.791714285714287,14.804,14.84,14.61,14.702,14.832,14.974,14.732,14.79,14.528,14.644,14.766,14.952,14.968,15.452,14.79559118236473,15.564,15.841683366733466,16.383064516129032
Resolved Score,18.636,18.404,,7.860285714285713,33.208,33.244,33.014,33.106,33.236,33.378,33.136,33.194,32.932,33.048,33.17,33.356,33.372,33.856,33.20040080160321,33.968,34.24248496993988,34.778225806451616
System Overall,11.015714285714287,10.791714285714287,7.860285714285713,,25.551714285714286,25.587714285714288,25.357714285714287,25.449714285714286,25.579714285714285,25.721714285714285,25.479714285714287,25.537714285714287,25.275714285714287,25.391714285714286,25.513714285714286,25.699714285714286,25.715714285714288,26.199714285714286,25.5581639469415,26.311714285714285,26.597576104590136,27.12768817204301
Rater1 1,14.572,14.804,33.208,25.551714285714286,,0.184,0.246,0.234,0.276,0.33,0.448,0.446,0.504,0.408,0.45,0.496,0.464,0.756,0.5450901803607214,0.832,1.088176352705411,1.592741935483871
Rater1 2,14.608,14.84,33.244,25.587714285714288,0.184,,0.282,0.246,0.236,0.302,0.448,0.426,0.504,0.408,0.446,0.484,0.44,0.704,0.5531062124248497,0.792,1.0561122244488979,1.5544354838709677
Rater1 3,14.378,14.61,33.014,25.357714285714287,0.246,0.282,,0.196,0.318,0.432,0.462,0.472,0.442,0.386,0.468,0.562,0.486,0.862,0.5150300601202404,0.966,1.254509018036072,1.780241935483871
Rater1 4,14.47,14.702,33.106,25.449714285714286,0.234,0.246,0.196,,0.21,0.352,0.438,0.436,0.454,0.366,0.416,0.494,0.474,0.818,0.5050100200400801,0.906,1.1743486973947896,1.6975806451612903
Rater1 5,14.6,14.832,33.236,25.579714285714285,0.276,0.236,0.318,0.21,,0.23,0.46,0.454,0.532,0.432,0.434,0.464,0.468,0.704,0.5751503006012024,0.788,1.0561122244488979,1.5685483870967742
Rater1 6,14.742,14.974,33.378,25.721714285714285,0.33,0.302,0.432,0.352,0.23,,0.486,0.492,0.598,0.51,0.492,0.43,0.442,0.586,0.5891783567134269,0.674,0.9098196392785571,1.4254032258064515
Rater2 1,14.5,14.732,33.136,25.479714285714287,0.448,0.448,0.462,0.438,0.46,0.486,,0.182,0.248,0.276,0.282,0.348,0.524,0.788,0.591182364729459,0.864,1.1482965931863727,1.653225806451613
Rater2 2,14.558,14.79,33.194,25.537714285714287,0.446,0.426,0.472,0.436,0.454,0.492,0.182,,0.302,0.266,0.244,0.322,0.518,0.75,0.5851703406813628,0.826,1.1062124248496994,1.6028225806451613
Rater2 3,14.296,14.528,32.932,25.275714285714287,0.504,0.504,0.442,0.454,0.532,0.598,0.248,0.302,,0.228,0.338,0.492,0.564,0.956,0.591182364729459,1.06,1.3386773547094188,1.8568548387096775
Rater2 4,14.412,14.644,33.048,25.391714285714286,0.408,0.408,0.386,0.366,0.432,0.51,0.276,0.266,0.228,,0.21,0.364,0.484,0.84,0.5190380761523046,0.932,1.2324649298597194,1.7419354838709677
Rater2 5,14.534,14.766,33.17,25.513714285714286,0.45,0.446,0.468,0.416,0.434,0.492,0.282,0.244,0.338,0.21,,0.254,0.482,0.762,0.5490981963927856,0.834,1.1142284569138277,1.622983870967742
Rater2 6,14.72,14.952,33.356,25.699714285714286,0.496,0.484,0.562,0.494,0.464,0.43,0.348,0.322,0.492,0.364,0.254,,0.5,0.628,0.6112224448897795,0.676,0.9318637274549099,1.435483870967742
System Ideas and Content,14.736,14.968,33.372,25.715714285714288,0.464,0.44,0.486,0.474,0.468,0.442,0.524,0.518,0.564,0.484,0.482,0.5,,0.5,0.40480961923847697,0.6,0.905811623246493,1.4274193548387097
System Organization,15.22,15.452,33.856,26.199714285714286,0.756,0.704,0.862,0.818,0.704,0.586,0.788,0.75,0.956,0.84,0.762,0.628,0.5,,0.8036072144288577,0.288,0.5070140280561122,0.9516129032258065
System Voice,14.567134268537075,14.79559118236473,33.20040080160321,25.5581639469415,0.5450901803607214,0.5531062124248497,0.5150300601202404,0.5050100200400801,0.5751503006012024,0.5891783567134269,0.591182364729459,0.5851703406813628,0.591182364729459,0.5190380761523046,0.5490981963927856,0.6112224448897795,0.40480961923847697,0.8036072144288577,,0.8036072144288577,1.0923694779116466,1.6
System Word Choice,15.332,15.564,33.968,26.311714285714285,0.832,0.792,0.966,0.906,0.788,0.674,0.864,0.826,1.06,0.932,0.834,0.676,0.6,0.288,0.8036072144288577,,0.44488977955911824,0.8508064516129032
System Sentence Fluency,15.609218436873748,15.841683366733466,34.24248496993988,26.597576104590136,1.088176352705411,1.0561122244488979,1.254509018036072,1.1743486973947896,1.0561122244488979,0.9098196392785571,1.1482965931863727,1.1062124248496994,1.3386773547094188,1.2324649298597194,1.1142284569138277,0.9318637274549099,0.905811623246493,0.5070140280561122,1.0923694779116466,0.44488977955911824,,0.5766129032258065
System Conventions,16.143145161290324,16.383064516129032,34.778225806451616,27.12768817204301,1.592741935483871,1.5544354838709677,1.780241935483871,1.6975806451612903,1.5685483870967742,1.4254032258064515,1.653225806451613,1.6028225806451613,1.8568548387096775,1.7419354838709677,1.622983870967742,1.435483870967742,1.4274193548387097,0.9516129032258065,1.6,0.8508064516129032,0.5766129032258065,
